Countries,ERP
United Arab Emirates,6.588887315627434
Angola,14.728191252954167
Australia,5.9682124919838015
Austria,5.94
Bahrain,9.410136514007583
Belgium,6.010531229959504
Brazil,10.45399871740824
Bulgaria,7.604537027044289
Cameroon,14.911572450848878
Canada,5.996424983967604
Chile,7.971299422833708
China,7.0543934333601594
Colombia,10.63737991530295
Costa Rica,11.624817134736002
Croatia,7.378837091173876
Cyprus,7.364730845181976
Czechia,6.363187379757022
Denmark,5.94
Ecuador,29.370474592547147
Egypt,16.787703167771678
El Salvador,44.224351622018645
Estonia,7.971299422833708
Ethiopia,45.451595023314
Finland,5.9682124919838015
France,6.081062459919007
Germany,5.94
Greece,8.267530588663623
Hong Kong,6.490143593684129
Hungary,8.916417904291057
Iceland,6.518356085667931
India,7.844343208906601
Indonesia,7.957193176841808
Iraq,12.104429498460629
Ireland,6.0951687059109085
Israel,6.433718609716527
Italy,8.084149390768914
Japan,5.94
Kazakhstan,9.297286546072378
Kenya,16.209347082103747
South Korea,6.447824855708427
Kuwait,6.602993561619336
Latvia,7.421155829149578
Lithuania,7.5340057970847845
Malaysia,7.237774631254869
Mexico,8.465018032550233
Morocco,9.057480364210067
Netherlands,5.94
New Zealand,6.038743721943305
Nicaragua,14.333216365180949
Nigeria,17.507121713358615
Norway,5.94
Oman,8.831780428339652
Panama,8.013618160809411
Peru,8.225211850687922
Philippines,7.802024470930899
Poland,7.5340057970847845
Portugal,6.631206053603137
Qatar,6.602993561619336
Romania,9.960280107691712
Rwanda,13.134185455869382
Saudi Arabia,6.842799743481648
Senegal,13.09186671789368
Serbia,9.621730203886095
Slovakia,6.5465685776517315
Slovenia,6.899224727449252
South Africa,10.43989247141634
Spain,6.645312299595038
Sweden,5.94
Switzerland,5.94
Thailand,6.715843529554541
Tunisia,17.746927895220928
Turkey,12.964910503966573
United Kingdom,5.996424983967604
United States of America,5.94
Uruguay,7.505793305100983
Vietnam,8.408593048582631
Algeria,11.133169166632968
Brunei,7.400578828115521
Gambia,15.433762382750892
Guinea,21.478935865784578
Guinea-Bissau,17.158056832609496
Guyana,8.698871119773763
Haiti,26.651819215360383
Iran,13.709467932892288
North Korea,26.651819215360383
Liberia,21.478935865784578
Libya,11.133169166632968
Madagascar,17.158056832609496
Malawi,26.651819215360383
Myanmar,23.203230315643182
Sierra Leone,26.651819215360383
Somalia,26.651819215360383
Sudan,30.62593048582631
Syria,30.62593048582631
Yemen,30.62593048582631
Zimbabwe,18.882351282468097
