Year,Implied_ERP,T_Bond_Rate
1961,2.92,2.35
1962,3.56,3.85
1963,3.38,4.14
1964,3.3099999999999996,4.21
1965,3.32,4.65
1966,3.6799999999999997,4.64
1967,3.2,5.7
1968,3.0,6.16
1969,3.74,7.88
1970,3.4099999999999997,6.5
1971,3.09,5.89
1972,2.7199999999999998,6.41
1973,4.3,6.9
1974,5.59,7.3999999999999995
1975,4.130000000000001,7.76
1976,4.55,6.81
1977,5.92,7.779999999999999
1978,5.72,9.15
1979,6.45,10.33
1980,5.029999999999999,12.43
1981,5.7299999999999995,13.98
1982,4.9,10.47
1983,4.31,11.799999999999999
1984,5.11,11.51
1985,3.84,8.99
1986,3.58,7.22
1987,3.9899999999999998,8.86
1988,3.7699999999999996,9.139999999999999
1989,3.51,7.93
1990,3.8899999999999997,8.07
1991,3.4799999999999995,6.7
1992,3.55,6.68
1993,3.17,5.79
1994,3.55,7.82
1995,3.29,5.57
1996,3.2,6.41
1997,2.73,5.74
1998,2.26,4.65
1999,2.0500000000000003,6.4399999999999995
2000,2.87,5.11
2001,3.62,5.050000000000001
2002,4.1000000000000005,3.81
2003,3.6900000000000004,4.25
2004,3.65,4.22
2005,4.08,4.390000000000001
2006,4.16,4.7
2007,4.37,4.02
2008,6.43,2.21
2009,4.36,3.84
2010,5.2,3.29
2011,6.01,1.8800000000000001
2012,5.779999999999999,1.76
2013,4.96,3.04
2014,5.779999999999999,2.17
2015,6.12,2.27
2016,5.6899999999999995,2.45
2017,5.08,2.41
2018,5.96,2.68
2019,5.2,1.92
2020,4.72,0.9299999999999999
2021,4.24,1.51
2022,5.94,3.88
