Country,Moody's rating
United Arab Emirates,Aa
Albania,B
Andorra (Principality of),Baa
Angola,B
Argentina,C
Armenia,Ba
Aruba,Baa
Australia,Aaa
Austria,Aa
Azerbaijan,Ba
Bahamas,B
Bahrain,B
Bangladesh,Ba
Barbados,C
Belarus,C
Belgium,Aa
Belize,C
Benin,B
Bermuda,A
Bolivia,B
Bosnia and Herzegovina,B
Botswana,A
Brazil,Ba
Bulgaria,Baa
Burkina Faso,C
Cambodia,B
Cameroon,B
Canada,Aaa
Cape Verde,B
Cayman Islands,Aa
Chile,A
China,A
Colombia,Baa
Dem. Rep. Congo,B
Congo (Republic of),C
Cook Islands,B
Costa Rica,B
Côte d'Ivoire,Ba
Croatia,Baa
Cuba,C
Curacao,Baa
Cyprus,Ba
Czechia,Aa
Denmark,Aaa
Dominican Rep.,Ba
Ecuador,C
Egypt,B
El Salvador,C
Estonia,A
Ethiopia,C
Fiji,B
Finland,Aa
France,Aa
Gabon,C
Georgia,Ba
Germany,Aaa
Ghana,C
Greece,Ba
Guatemala,Ba
Guernsey (States of),Aaa
Honduras,B
Hong Kong,Aa
Hungary,Baa
Iceland,A
India,Baa
Indonesia,Baa
Iraq,C
Ireland,A
Isle of Man,Aa
Israel,A
Italy,Baa
Jamaica,B
Japan,A
Jersey (States of),Aaa
Jordan,B
Kazakhstan,Baa
Kenya,B
South Korea,Aa
Kuwait,A
Kyrgyzstan,B
Laos,C
Latvia,A
Lebanon,C
Liechtenstein,Aaa
Lithuania,A
Luxembourg,Aaa
Macao,Aa
Macedonia,Ba
Malaysia,A
Maldives,C
Mali,C
Malta,A
Mauritius,Baa
Mexico,Baa
Moldova,B
Mongolia,B
Montenegro,B
Montserrat,Baa
Morocco,Ba
Mozambique,C
Namibia,B
Netherlands,Aaa
New Zealand,Aaa
Nicaragua,B
Niger,B
Nigeria,B
Norway,Aaa
Oman,Ba
Pakistan,C
Panama,Baa
Papua New Guinea,B
Paraguay,Ba
Peru,Baa
Philippines,Baa
Poland,A
Portugal,Baa
Qatar,Aa
Ras Al Khaimah (Emirate of),A
Romania,Baa
Russia,C
Rwanda,B
Saudi Arabia,A
Senegal,Ba
Serbia,Ba
Sharjah,Ba
Singapore,Aaa
Slovakia,A
Slovenia,A
Solomon Islands,C
South Africa,Ba
Spain,Baa
Sri Lanka,C
St. Maarten,Ba
St. Vincent & the Grenadines,B
Suriname,C
eSwatini,B
Sweden,Aaa
Switzerland,Aaa
Taiwan,Aa
Tajikistan,B
Tanzania,B
Thailand,Baa
Togo,B
Trinidad and Tobago,Ba
Tunisia,C
Turkey,B
Turks and Caicos Islands,Baa
Uganda,B
Ukraine,C
United Arab Emirates,Aa
United Kingdom,Aa
United States of America,Aaa
Uruguay,Baa
Uzbekistan,B
Venezuela,C
Vietnam,Ba
Zambia,C
North Korea,Aa
Fr. S. Antarctic Lands,ND
Bhutan,ND
Lesotho,ND
Sierra Leone,ND
Afghanistan,ND
Bosnia and Herz.,ND
Puerto Rico,ND
Djibouti,ND
Congo,ND
Eritrea,ND
Greenland,ND
W. Sahara,ND
Myanmar,ND
S. Sudan,ND
Somaliland,ND
Burundi,ND
Guyana,ND
Algeria,ND
Antarctica,ND
Yemen,ND
Brunei,ND
Syria,ND
Timor-Leste,ND
Vanuatu,ND
Iran,ND
Liberia,ND
Guinea-Bissau,ND
Guinea,ND
New Caledonia,ND
Libya,ND
Central African Rep.,ND
Haiti,ND
Turkmenistan,ND
Solomon Is.,ND
Gambia,ND
Falkland Is.,ND
Madagascar,ND
Malawi,ND
Sudan,ND
Somalia,ND
Nepal,ND
Kosovo,ND
Eq. Guinea,ND
Palestine,ND
Zimbabwe,ND
Chad,ND
N. Cyprus,ND
Mauritania,ND
